Order,Sample Name,NH4N.mgl,NO3N.mgl,Crop,Treatment,Addition,DNA_DOE,F1R2_log,F1R2_ave,log_012,ave_012,log_025,ave_025,log_039,ave_039,log_sum,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039
76,4f,0.513481568,11.4380505,Corn,100N,Control,87,7.051025666,1.12E+07,8.675511096,4.74E+08,7.770911137,5.90E+07,8.789511261,6.16E+08,9.060175596,1.15E+09,25445054.26,0,39080656.23,1971568555,14106734.52,11999142.93,19302414.83
77,5f,0.194768871,7.42940957,Corn,100N,Carbon,87,6.713969256,5.18E+06,8.075203651,1.19E+08,7.542465275,3.49E+07,8.261632641,1.83E+08,8.52689793,3.36E+08,0,17036397.73,23891465.23,1199562457,0,0,6910868.26
78,6f,0.327565828,13.97006734,Corn,100N,Nitrogen,87,6.751727797,5.65E+06,8.074190126,1.19E+08,7.649950625,4.47E+07,8.286160165,1.93E+08,8.552132832,3.57E+08,21054492,30078854.33,32980052.68,1275851832,0,0,9564526.531
79,7f,0.256740784,9.586484249,Corn,0N,Control,87,6.748115701,5.60E+06,8.770183092,5.89E+08,7.656214093,4.53E+07,8.878982284,7.57E+08,9.143391463,1.39E+09,4857078.714,0,0,1593153073,8951033.749,0,12760173.47
80,8f,0.327565828,9.507792683,Corn,0N,Carbon,87,6.614810797,4.12E+06,8.728864303,5.36E+08,7.44243516,2.77E+07,8.815364351,6.54E+08,9.085292417,1.22E+09,0,0,0,1253534589,0,0,5331217.7
81,9f,0.044265652,13.46088662,Corn,0N,Nitrogen,87,6.641304733,4.38E+06,8.746772642,5.58E+08,7.51401441,3.27E+07,8.818423724,6.58E+08,9.096610272,1.25E+09,14420731.53,0,0,1262776926,0,0,11889122.44
82,10f,0.221328262,12.36846254,Corn,100N,Control,87,7.017433923,1.04E+07,8.736206663,5.45E+08,7.774051746,5.94E+07,8.808862259,6.44E+08,9.096271343,1.25E+09,0,16836636.54,18864486.04,1424751540,0,0,14127952.45
83,11f,0.354125219,9.341151721,Corn,100N,Carbon,87,7.016570097,1.04E+07,8.775974997,5.97E+08,7.753626363,5.67E+07,8.873550116,7.47E+08,9.146469581,1.40E+09,0,0,30942857.35,1596703297,0,0,14376761.48
84,12f,0.309859567,15.4096601,Corn,100N,Nitrogen,87,7.127494998,1.34E+07,8.731277808,5.39E+08,7.86754738,7.37E+07,8.799512806,6.30E+08,9.094323556,1.24E+09,15911749.04,21067655.73,0,1645552927,0,10786121.77,10338499.33
85,13f,0.150503218,17.6315396,Corn,300N,Control,87,4.549334881,3.54E+04,8.171023881,1.48E+08,6.131499053,1.35E+06,6.807112771,6.41E+06,8.193200729,1.56E+08,0,0,0,67040591.4,0,0,0
86,14f,0.061971913,17.51118779,Corn,300N,Carbon,87,6.137164106,1.37E+06,7.818894066,6.59E+07,7.347200129,2.22E+07,7.954495757,9.01E+07,8.250900769,1.78E+08,0,0,0,403481894.2,0,0,0
87,15f,0.044265652,15.97901672,Corn,300N,Nitrogen,87,6.353926976,2.26E+06,8.318703383,2.08E+08,7.436274234,2.73E+07,8.458366817,2.87E+08,8.718447228,5.23E+08,0,23413142.8,22696810.26,738737548.5,0,0,7317965.577
88,16f,0.00885313,15.38651552,Corn,300N,Control,87,7.174526022,1.49E+07,8.659382128,4.56E+08,8.004482455,1.01E+08,8.771074031,5.90E+08,9.059857713,1.15E+09,13679976.05,74840798.6,44303575.86,1154252479,0,16240546,5403145.092
89,17f,0.00885313,12.7711782,Corn,300N,Carbon,87,6.887286871,7.71E+06,8.6321709,4.29E+08,7.708215307,5.11E+07,8.779054572,6.01E+08,9.033842684,1.08E+09,21114896.9,0,0,1073780621,0,0,7040752.845
90,18f,0.00885313,16.09473961,Corn,300N,Nitrogen,87,7.003132784,1.01E+07,8.595138283,3.94E+08,7.864457746,7.32E+07,8.691044647,4.91E+08,8.98128606,9.58E+08,0,36562719.83,30218957.86,997599984,0,0,0
91,19f,0.044265652,2.911587925,Corn,100N,Control,87,6.662811792,4.60E+06,8.544420578,3.50E+08,7.615592347,4.13E+07,8.645552253,4.42E+08,8.921000701,8.34E+08,0,28917963.88,28419772.89,1322223535,0,0,5770634.293
