"crop_T1","fert_T1","doe_T1","unique_soil_T1","Cntrl_CO2_flux_ug_g_d","Cntrl_CO2_flux_ug_g_d_glu","Cntrl_CO2_flux_ug_g_d_soil","Cntrl_cum_CO2_flux_ug_g","Cntrl_cum_CO2_flux_ug_g_glu","Cntrl_cum_CO2_flux_ug_g_soil","glucose_CO2_flux_ug_g_d","glucose_CO2_flux_ug_g_d_glu","glucose_CO2_flux_ug_g_d_soil","glucose_cum_CO2_flux_ug_g","glucose_cum_CO2_flux_ug_g_glu","glucose_cum_CO2_flux_ug_g_soil","priming_CO2_flux_ug_g_d","priming_cum_CO2_flux_ug_g_soil","relativePE_cum_CO2_flux_ug_g_soil"
"Mxg","0N",47,18,16.6552040482321,NA,16.6552040482321,770.734089275867,NA,770.734089275867,17.0390335023423,1.0442835005136,15.9947500018287,824.375680968472,114.573036038609,709.802644929863,-0.660454046403405,-60.9314443460046,-60.9314443460046
"Mxg","0N",47,21,30.7669489878947,NA,30.7669489878947,1398.49300889901,NA,1398.49300889901,39.7977068857899,2.98942961480209,36.8082772709878,1662.16304772862,197.376506742971,1464.78654098565,6.04132828309311,66.2935320866416,66.2935320866416
"Mxg","0N",47,23,36.4807322412609,NA,36.4807322412609,1735.24004458407,NA,1735.24004458407,39.7555160727181,1.76695329203835,37.9885627806797,1778.53489902411,169.595967254398,1608.93893176971,1.50783053941881,-126.301112814361,-126.301112814361
"Mxg","0N",54,17,23.0679175985662,NA,23.0679175985662,1504.61163712621,NA,1504.61163712621,25.5588003198772,1.04270257481398,24.5160977450633,1772.53439267412,145.380666472461,1627.15372620166,1.44818014649702,122.542089075455,122.542089075455
"Mxg","0N",54,18,15.8421089987991,NA,15.8421089987991,881.628852267461,NA,881.628852267461,14.6364347848939,0.779579380535851,13.856855404358,926.830724462729,120.03009170236,806.800632760369,-1.98525359444104,-74.8282195070919,-74.8282195070919
"Mxg","0N",54,21,40.5089588030906,NA,40.5089588030906,1682.05572052064,NA,1682.05572052064,47.9882700438797,3.13251540320165,44.855754640678,1998.08093803578,219.304114565382,1778.77682347039,4.34679583758738,96.7211029497535,96.7211029497535
"Mxg","0N",54,23,39.5815546777756,NA,39.5815546777756,2012.3109273285,NA,2012.3109273285,50.7294002896991,2.07043173688221,48.6589685528169,2133.640701052,184.088989412574,1949.55171163943,9.07741387504133,-62.7592156890712,-62.7592156890712
"Mxg","0N",60,17,19.796468017848,NA,19.796468017848,1623.39044523329,NA,1623.39044523329,22.0095704495774,0.775330589738521,21.2342398598388,1904.59181537159,150.032650010892,1754.55916536069,1.43777184199089,131.168720127401,131.168720127401
"Mxg","0N",60,18,12.1214018481661,NA,12.1214018481661,954.357263356457,NA,954.357263356457,11.9834513378027,0.609511885787125,11.3739394520155,998.731432489545,123.687163017083,875.044269472462,-0.747462396150507,-79.312993883995,-79.312993883995
"Mxg","0N",60,21,34.5877618199741,NA,34.5877618199741,1889.58229144048,NA,1889.58229144048,33.7499580358535,1.78503773134207,31.9649203045114,2200.5806862509,230.014340953435,1970.56634529746,-2.62284151546264,80.9840538569774,80.9840538569774
"Mxg","0N",60,23,34.8800097588862,NA,34.8800097588862,2221.59098588182,NA,2221.59098588182,41.2733948644474,1.57979109541088,39.6936037690365,2381.28107023869,193.567735985039,2187.71333425365,4.81359401015032,-33.8776516281696,-33.8776516281696
"Mxg","0N",67,17,16.0753770140478,NA,16.0753770140478,1735.91808433163,NA,1735.91808433163,18.6494367981968,0.599051890818561,18.0503849073782,2035.13787295896,154.226013246622,1880.91185971234,1.97500789333046,144.993775380714,144.993775380714
