"sample","Temp_C_Avg.1_T0","TIMESTAMP_T0","CO2_calc_T0","delta13C_calc_T0","time_T0","date_T0","doe_T0","sampling_id_T0","event_id_T0","event","crop_T0","fert_T0","addition_T0","dry_weight_g_T0","unique_soil_T0","CO2C_ug_g_T0","Temp_C_Avg.1_T1","TIMESTAMP_T1","CO2_calc_T1","delta13C_calc_T1","time_T1","date_T1","doe_T1","sampling_id_T1","event_id_T1","crop_T1","fert_T1","addition_T1","dry_weight_g_T1","unique_soil_T1","CO2C_ug_g_T1","CO2_flux_ug_g","sample_date","time_dif","CO2_flux_ug_g_d","diff.day","CO2_flux_ug_g_int","cum_CO2_flux_ug_g","atom_percent13C_calc_T1","atom_percent13C_calc_T0","soil_atom_percent13C","soil_Rsample","soil_delta13C","pglu","psoil","CO2_flux_ug_g_d_glu","CO2_flux_ug_g_int_glu","cum_CO2_flux_ug_g_glu","cum_pglu","CO2_flux_ug_g_d_soil","cum_CO2_flux_ug_g_soil","cum_psoil"
57,21.67522,"5/5/21 0:21",556.986518572833,-12.3581799241328,2021-05-05 00:21:00,2021-05-05,113,31,15.5,16,"Mxg","336N","+N",9.460169749,19,13.5970228709853,22.28591,"5/6/21 11:27",1626.2386835672,-12.3847272852515,2021-05-06 11:27:00,2021-05-06,114,32,16,"Mxg","336N","+N",9.460169749,19,39.6172914972614,26.0202686262762,"57 2021-05-05",35.1,17.7916366675393,14,249.08291334555,2842.04267038941,1.09212444539117,1.09215348136756,1.09210927249497,0.011041679935363,-12.3985997367678,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,21.64848,"5/5/21 0:22",558.813871892582,-12.0436212145321,2021-05-05 00:22:00,2021-05-05,113,31,15.5,16,"Mxg","112N","Cntrl",10.19498156,20,12.6595479754638,22.28261,"5/6/21 11:27",1166.13344852029,-14.1208401012375,2021-05-06 11:27:00,2021-05-06,114,32,16,"Mxg","112N","Cntrl",10.19498156,20,26.3612549708736,13.7017069954098,"58 2021-05-05",35.0833333333333,9.37313922726371,14,131.223949181692,1601.28205235218,1.09022554805431,1.0924975262906,1.08812637767421,0.0110009682136747,-16.0399798149692,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,21.63276,"5/5/21 0:23",479.10468605711,-6.37149108714485,2021-05-05 00:23:00,2021-05-05,113,31,15.5,16,"Mxg","112N","+C",10.19498156,20,10.8543694197342,22.26405,"5/6/21 11:27",1022.1641696136,1503.70842371959,2021-05-06 11:27:00,2021-05-06,114,32,16,"Mxg","112N","+C",10.19498156,20,23.1081813494503,12.2538119297161,"59 2021-05-05",35.0666666666667,8.38663934353194,14,117.412950809447,1732.38130667913,2.72299838289565,1.09870094184111,4.16179347570914,0.0434252019799046,2884.08199958003,3.13701021979954,96.8629897802005,0.263089733304326,3.68325626626056,139.038601261971,8.02586594105543,8.12354961022761,1593.34270541715,91.9741340589446
60,21.56251,"5/5/21 0:24",455.7396275571,-9.5917014268897,2021-05-05 00:24:00,2021-05-05,113,31,15.5,16,"Mxg","112N","+N",10.19498156,20,10.3274828465793,22.18124,"5/6/21 11:28",986.400626179547,-14.0966725236293,2021-05-06 11:28:00,2021-05-06,114,32,16,"Mxg","112N","+N",10.19498156,20,22.3059236268635,11.9784407802842,"60 2021-05-05",35.0666666666667,8.19817239715266,14,114.774413560137,1320.01569588943,1.09025198217606,1.09517920294728,1.08600386767356,0.0109792740172049,-17.9803746585568,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,21.5541,"5/5/21 0:27",634.28877218606,14.0865235836669,2021-05-05 00:27:00,2021-05-05,113,31,15.5,16,"Mxg","0N","Cntrl",9.794144696,21,14.9622544145138,22.17064,"5/6/21 11:29",1945.45807909245,-9.12505834459709,2021-05-06 11:29:00,2021-05-06,114,32,16,"Mxg","0N","Cntrl",9.794144696,21,45.7956539782677,30.8333995637539,"61 2021-05-05",35.0333333333333,21.1227856193176,14,295.718998670446,3214.55465456184,1.09568955629622,1.12106871257506,1.08337403486679,0.0109523957605334,-20.3844475968129,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,21.58549,"5/5/21 0:28",537.031313036204,107.563883903964,2021-05-05 00:28:00,2021-05-05,113,31,15.5,16,"Mxg","0N","+C",9.794144696,21,12.6666964946199,22.1324,"5/6/21 11:29",1820.88392686481,2219.93939450708,2021-05-06 11:29:00,2021-05-06,114,32,16,"Mxg","0N","+C",9.794144696,21,42.8687568382104,30.2020603435905,"62 2021-05-05",35.0166666666667,20.7001270322562,14,289.801778451587,3462.80223155641,3.47489307818118,1.22314358866877,4.41927326420454,0.0462360291151616,3135.49091841557,3.39998716796916,96.6000128320308,0.703801662850027,9.85322327990038,280.179050220292,8.09110747553032,19.9963253694062,3182.62318133612,91.9088925244697
63,21.59804,"5/5/21 0:29",654.07426810732,-9.80658080697572,2021-05-05 00:29:00,2021-05-05,113,31,15.5,16,"Mxg","0N","+N",9.794144696,21,15.4266748973241,22.18618,"5/6/21 11:30",2017.09299101691,-12.3710319836895,2021-05-06 11:30:00,2021-05-06,114,32,16,"Mxg","0N","+N",9.794144696,21,47.4794255969815,32.0527506996573,"63 2021-05-05",35.0166666666667,21.9685678284182,14,307.559949597854,2998.736038118,1.09213942452629,1.09494419413249,1.0907895163926,0.0110281894988271,-13.6052253671989,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,21.58958,"5/5/21 0:30",554.170694371747,-10.7504359724734,2021-05-05 00:30:00,2021-05-05,113,31,15.5,16,"Mxg","336N","Cntrl",10.12950002,22,12.6380418980724,22.22986,"5/6/21 11:31",1133.70318641935,-13.4527848177644,2021-05-06 11:31:00,2021-05-06,114,32,16,"Mxg","336N","Cntrl",10.12950002,22,25.798424370204,13.1603824721316,"64 2021-05-05",35.0166666666667,9.01996704420251,14,126.279538618835,1190.35407975839,1.09095625136458,1.09391190743354,1.08811790640652,0.0110008816269102,-16.0477243982503,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,21.62621,"5/5/21 0:32",614.370691995563,13.0715100233172,2021-05-05 00:32:00,2021-05-05,113,31,15.5,16,"Mxg","336N","+C",10.12950002,22,14.0091812620468,22.1903,"5/6/21 11:31",1199.12436192083,1589.07944318157,2021-05-06 11:31:00,2021-05-06,114,32,16,"Mxg","336N","+C",10.12950002,22,27.2907964426931,13.2816151806463,"65 2021-05-05",34.9833333333333,9.11173218681786,14,127.56425061545,1511.23890881438,2.81323467225665,1.11995918601671,4.59926768787076,0.0482099830515244,3312.04735575292,3.58382444894524,96.4161755510547,0.326548485833592,4.57167880167028,135.431043976759,8.96159059873663,8.78518370098427,1375.80786483762,91.0384094012634
66,21.59471,"5/5/21 0:33",545.418423103153,-11.7796797581363,2021-05-05 00:33:00,2021-05-05,113,31,15.5,16,"Mxg","336N","+N",10.12950002,22,12.4382270316277,22.17915,"5/6/21 11:32",1096.11030976378,-13.5121078259931,2021-05-06 11:32:00,2021-05-06,114,32,16,"Mxg","336N","+N",10.12950002,22,24.9472478999627,12.5090208683349,"66 2021-05-05",34.9833333333333,8.58170083392202,14,120.143811674908,1142.53123571005,1.09089136567657,1.09278620733605,1.08900724772701,0.0110099718688951,-15.2346655371435,NA,NA,NA,NA,NA,NA,NA,NA,NA
