factor,level,Day,Addition,mean_n,sd,se,pe_mean_n,pe_sd,pe_se,pe_perc_diff,var
Treatment,112N,60,Nitrogen,1103.168,586.445,207.34,-130.842,71.285,25.203,-10.603,cum_CO2_flux_ug_g
Treatment,112N,67,Carbon,1607.456,558.978,197.629,256.501,-6.879,-2.432,18.987,cum_CO2_flux_ug_g
Treatment,112N,67,Control,1350.955,565.857,200.061,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,67,Nitrogen,1205.641,632.627,223.667,-145.314,66.77,23.607,-10.756,cum_CO2_flux_ug_g
Treatment,112N,76,Carbon,1769.043,628.447,222.189,263.426,-6.161,-2.178,17.496,cum_CO2_flux_ug_g
Treatment,112N,76,Control,1505.617,634.608,224.368,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,76,Nitrogen,1338.811,692.47,244.825,-166.807,57.863,20.457,-11.079,cum_CO2_flux_ug_g
Treatment,112N,87,Carbon,1933.806,694.43,245.518,264.758,-4.369,-1.545,15.863,cum_CO2_flux_ug_g
Treatment,112N,87,Control,1669.048,698.799,247.063,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,87,Nitrogen,1477.083,751.191,265.586,-191.965,52.392,18.523,-11.501,cum_CO2_flux_ug_g
Treatment,112N,100,Carbon,2134.76,778.465,275.229,263.888,21.603,7.638,14.105,cum_CO2_flux_ug_g
Treatment,112N,100,Control,1870.872,756.862,267.591,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,100,Nitrogen,1645.895,825.934,292.012,-224.978,69.072,24.421,-12.025,cum_CO2_flux_ug_g
Treatment,112N,114,Carbon,2309.868,863.848,305.416,246.708,51.163,18.089,11.958,cum_CO2_flux_ug_g
Treatment,112N,114,Control,2063.16,812.684,287.327,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,114,Nitrogen,1795.748,891.75,315.281,-267.412,79.065,27.954,-12.961,cum_CO2_flux_ug_g
Treatment,112N,132,Carbon,2557.165,958.429,338.856,256.137,58.703,20.755,11.131,cum_CO2_flux_ug_g
Treatment,112N,132,Control,2301.028,899.726,318.101,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,132,Nitrogen,1993.629,969.671,342.83,-307.399,69.945,24.729,-13.359,cum_CO2_flux_ug_g
Treatment,112N,146,Carbon,2750.554,1015.974,359.201,269.718,49.519,17.508,10.872,cum_CO2_flux_ug_g
Treatment,112N,146,Control,2480.835,966.455,341.693,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,146,Nitrogen,2156.405,1044.334,369.228,-324.431,77.88,27.535,-13.077,cum_CO2_flux_ug_g
