sample,Day,sample_id,Crop,Treatment,Addition,CO2_flux_ug_g_d,cum_CO2_flux_ug_g
59,10,6,Miscanthus,112N,Carbon,20.0130399786198,211.768015850485
60,10,6,Miscanthus,112N,Nitrogen,13.0464110060636,125.168910923705
61,10,6,Miscanthus,0N,Control,29.47220459152,292.80494534153
62,10,6,Miscanthus,0N,Carbon,31.6321774729869,332.924596821786
63,10,6,Miscanthus,0N,Nitrogen,27.3877286733492,276.816644894026
64,10,6,Miscanthus,336N,Control,14.4543775938963,142.758588173339
65,10,6,Miscanthus,336N,Carbon,20.4981161227934,219.464465263423
66,10,6,Miscanthus,336N,Nitrogen,12.987256955601,127.247450676277
67,10,6,Miscanthus,0N,Control,31.2092429358784,294.675045632594
68,10,6,Miscanthus,0N,Carbon,32.6087028053948,331.099783469773
69,10,6,Miscanthus,0N,Nitrogen,32.8715268311947,317.854580643196
70,10,6,Miscanthus,112N,Control,28.9026903390228,284.153530748613
71,10,6,Miscanthus,112N,Carbon,34.1688842706616,355.561357479498
72,10,6,Miscanthus,112N,Nitrogen,25.8481957504402,252.41486942897
1,16,8,Corn,0N,Control,28.8952083558885,441.558658960662
2,16,8,Corn,0N,Carbon,37.9971496591041,536.092889436814
3,16,8,Corn,0N,Nitrogen,29.1618469573605,478.105520288547
4,16,8,Corn,112N,Control,22.3399775192602,364.175560878354
5,16,8,Corn,112N,Carbon,26.8024412333416,401.695830856002
6,16,8,Corn,112N,Nitrogen,21.2320590931329,336.792504162731
7,16,8,Corn,0N,Control,16.0986448544122,261.702709127516
8,16,8,Corn,0N,Carbon,25.5397954323966,360.323414316715
9,16,8,Corn,0N,Nitrogen,13.752537119241,222.77820334979
10,16,8,Corn,112N,Control,23.581068614521,371.278408936302
11,16,8,Corn,112N,Carbon,27.1865942729838,422.057086350759
12,16,8,Corn,112N,Nitrogen,22.7885177102036,357.492310294162
13,16,8,Corn,336N,Control,13.5717534461798,223.759780448522
14,16,8,Corn,336N,Carbon,17.2773314381736,317.38963490093
15,16,8,Corn,336N,Nitrogen,12.6241548766277,214.210829604873
16,16,8,Corn,336N,Control,11.9832115766564,207.536489125619
17,16,8,Corn,336N,Carbon,16.2588845319635,316.209421451867
18,16,8,Corn,336N,Nitrogen,11.3725670229614,174.642339245873
19,16,8,Corn,112N,Control,15.0031603373813,252.520742210319
20,16,8,Corn,112N,Carbon,15.7246181912099,298.331450233415
21,16,8,Corn,112N,Nitrogen,11.9960410145395,183.654330798876
22,16,8,Corn,336N,Control,21.4942655460477,335.782746403535
23,16,8,Corn,336N,Carbon,26.5738412546957,422.750451440653
24,16,8,Corn,336N,Nitrogen,20.4212922391421,322.01996544788
25,16,8,Corn,336N,Control,21.2210525121131,376.780149837044
26,16,8,Corn,336N,Carbon,25.01646050955,450.863226676216
27,16,8,Corn,336N,Nitrogen,21.3444350045496,361.6636796319
28,16,8,Corn,0N,Control,22.4250796716635,399.519403353782
29,16,8,Corn,0N,Carbon,24.5243421315098,360.757590044069
30,16,8,Corn,0N,Nitrogen,19.9416102125994,346.827052654774
31,16,8,Corn,112N,Control,18.5455849333508,305.725022875663
32,16,8,Corn,112N,Carbon,19.7223145724801,358.661155119146
33,16,8,Corn,112N,Nitrogen,17.367091892873,269.124993589303
34,16,8,Corn,0N,Control,25.9418377296048,416.283015534397
35,16,8,Corn,0N,Carbon,30.5659287714342,467.512255033239
36,16,8,Corn,0N,Nitrogen,22.6098628612622,354.74351013016
37,16,8,Miscanthus,336N,Control,26.5306263056695,481.657828730163
38,16,8,Miscanthus,336N,Carbon,25.719601218294,525.131901310446
39,16,8,Miscanthus,336N,Nitrogen,26.2524842359996,435.562231106713
40,16,8,Miscanthus,112N,Control,22.1038540659497,339.324169663246
41,16,8,Miscanthus,112N,Carbon,26.1626084973915,484.481952376052
42,16,8,Miscanthus,112N,Nitrogen,24.566722419165,404.238026006867
43,16,8,Miscanthus,336N,Control,9.75760468655596,162.21252296007
44,16,8,Miscanthus,336N,Carbon,11.181633074801,245.416900625539
45,16,8,Miscanthus,336N,Nitrogen,6.72338330932825,122.062505054272
46,16,8,Miscanthus,112N,Control,7.92267728172193,134.500564337363
47,16,8,Miscanthus,112N,Carbon,14.533476877549,263.233088563727
48,16,8,Miscanthus,112N,Nitrogen,6.88937089189108,118.746464344378
49,16,8,Miscanthus,0N,Control,27.5152600799253,487.435975693824
50,16,8,Miscanthus,0N,Carbon,40.9052009191722,606.59108089599
51,16,8,Miscanthus,0N,Nitrogen,26.2028186492102,434.691927059963
52,16,8,Miscanthus,0N,Control,14.3553544573372,273.299248098353
53,16,8,Miscanthus,0N,Carbon,12.8036969983018,294.296798738549
54,16,8,Miscanthus,0N,Nitrogen,16.8583259731519,286.049607602679
55,16,8,Miscanthus,336N,Control,27.5168583947762,443.796198725621
56,16,8,Miscanthus,336N,Carbon,30.0573360347598,531.030234861745
57,16,8,Miscanthus,336N,Nitrogen,24.3348077774387,400.896845726728
58,16,8,Miscanthus,112N,Control,15.7648382060342,254.025363295827
59,16,8,Miscanthus,112N,Carbon,20.5246377002379,334.915842051912
60,16,8,Miscanthus,112N,Nitrogen,12.6573583438903,201.113060987046
61,16,8,Miscanthus,0N,Control,24.0161522200879,436.901858662057
62,16,8,Miscanthus,0N,Carbon,27.7765585072881,499.583947865515
63,16,8,Miscanthus,0N,Nitrogen,23.6155190002451,418.509758895497
64,16,8,Miscanthus,336N,Control,12.9446869556865,220.426709907458
65,16,8,Miscanthus,336N,Carbon,17.1699945086931,322.484432315581
66,16,8,Miscanthus,336N,Nitrogen,11.8614182431732,198.415960135316
