Sample.Name,F1R2_log,F1R2_ave,log_012,ave_012,log_025,ave_025,log_039,ave_039,log_sum,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039,ave_sum,norB.001,norB.006,cnorB,norb_sum,log_norB.001,log_norB.006,log_cnorB,log_norb_sum,sample,timepoint,initial_name,Day,k_cl_weight,k_cl_volume_l,moisture_percent,dry_soil,nh4n_mgl_1,no3n_mgl_1,nh4n_mg_kg_1,no3n_mg_kg_1,nh4n_mgl_2,no3n_mgl_2,nh4n_mg_kg_2,no3n_mg_kg_2,Crop,Treatment,Addition,net_n_min,delta,net_min_rate_rel,net_min_rate_abs,net_nitr_rate_rel,net_nitr_rate_abs,cum_no3,cum_nh4,N2ON_flux_ug_g_d,cum_N2O_flux_ug_g
36d,7.120289269,13200000,8.972211738,9.38e+08,7.480111479,30200000,8.832201089,6.8e+08,9.216889919,1.65e+09,0,0,21563869.95,5121410810,0,0,16855494.07,1648200000,1.65e+09,6.07e+09,1.26e+09,7.72e+09,21.2240411248589,22.5266244420178,20.9543775579098,22.7670802009831,36,d,36d,30,40.282,0.0372981481481481,44.93038326,3.8086146937384,0.056203566,6.47786290920113,0.550407195185339,63.4383653636592,0.056203566,6.568282188,0.550407195185339,64.323850488115,Corn,0N,Nitrogen,63.9887725588446,15,1.17355214200145,2.67608117778001,1.36146677978869,3.20516660338818,161.625464485275,15.7684396118081,-0.002252937,-0.029265945
1f,6.830248803,6760000,8.741394247,5.51e+08,7.532907568,34100000,8.881343138,7.61e+08,9.129157078,1.35e+09,0,24349608.77,25571435.87,1901897664,0,0,12910443.23,1346100000,9.49e+08,2.24e+09,7.69e+08,3.189e+09,20.6709193565742,21.5297417028134,20.4606015274699,21.8829732249743,1,f,1f,86,37.66,0.0348703703703704,51.88985987,3.5149268378978,0.256740784,17.4533582883863,2.5470362941078,173.148715689,0.256740784,13.96080951,2.5470362941078,138.500350287531,Corn,0N,Control,175.695751983108,27,3.13667492724967,6.07643774703684,2.98727637116296,6.17046092609924,306.815429779933,14.030218585151,0.002273272,-0.947638265
2f,6.866425485,7350000,8.750211949,5.63e+08,7.577549258,37800000,8.840416087,6.92e+08,9.111569957,1.29e+09,22195338.32,0,0,1926195476,0,0,5050799.999,1292800000,1e+09,2.42e+09,7.68e+08,3.42e+09,20.7232658369464,21.607033377115,20.4593002911119,21.9529063880209,2,f,2f,86,37.63,0.0348425925925926,51.88985987,3.4855796524185,0.194768871,12.253173838439,1.94695089445554,122.485321407793,0.194768871,10.96127219,1.94695089445554,109.571198852876,Corn,0N,Carbon,124.432272302249,27,2.4252223605051,4.26592851390936,2.27913280392823,4.37353032856825,219.606625774551,10.4064690544758,0.002902493,-7.122240389
3f,6.948913971,8890000,8.791732614,6.19e+08,7.611195872,40900000,8.863927971,7.31e+08,9.143304651,1.39e+09,14083053.39,0,37878222.61,1904395733,0,0,10702204.89,1390900000,1.12e+09,2.51e+09,7.83e+08,3.63e+09,20.8365945222534,21.6435485900901,20.4786432539551,22.0124984852232,3,f,3f,86,37.68,0.0348888888888889,51.88985987,3.0415230590186,0.115090696,20.0320128427326,1.32018940082753,229.784439154113,0.115090696,15.29393721,1.32018940082753,175.434631150061,Corn,0N,Nitrogen,231.104628554941,27,3.50875317505553,7.4480715767399,3.36913994117806,7.62911740145252,527.84624025026,14.1277677553043,0.002298169,0.188680266
4f,7.051025666,11200000,8.675511096,4.74e+08,7.770911137,5.9e+07,8.789511261,6.16e+08,9.060175596,1.15e+09,25445054.26,0,39080656.23,1971568555,14106734.52,11999142.93,19302414.83,1.149e+09,8.57e+08,2.14e+09,6.55e+08,2.997e+09,20.5689484765621,21.4840716659802,20.3001457935995,21.8208776252809,4,f,4f,86,37.62,0.0348333333333333,41.89255076,3.5927835865092,0.513481568,13.0240500327446,4.97838909246555,126.272864818278,0.513481568,11.4380505,4.97838909246555,110.896027037664,Corn,112N,Control,131.251253910743,27,4.68617385263536,4.57690445064215,4.59191208742106,4.55938992784304,151.336468305951,20.6636350659044,0.002646839,0.023865249
5f,6.713969256,5180000,8.075203651,1.19e+08,7.542465275,34900000,8.261632641,1.83e+08,8.52689793,3.36e+08,0,17036397.73,23891465.23,1199562457,0,0,6910868.26,336900000,2.47e+08,1.38e+09,2.78e+08,1.627e+09,19.3248988945923,21.0453493361155,19.4431316716549,21.2100036651833,5,f,5f,86,37.46,0.0346851851851852,41.89255076,3.0488978616228,0.194768871,7.19829713058653,2.21574964644723,81.8900075778498,0.194768871,7.42940957,2.21574964644723,84.5192126622699,Corn,112N,Carbon,84.105757224297,27,2.20437679002493,2.85398673727834,2.08806296648095,2.95721063556892,121.726157846376,12.4049978313385,0.000570886,-0.001121469
6f,6.751727797,5650000,8.074190126,1.19e+08,7.649950625,44700000,8.286160165,1.93e+08,8.552132832,3.57e+08,21054492,30078854.33,32980052.68,1275851832,0,0,9564526.531,356700000,4.16e+08,1.43e+09,3.42e+08,1.846e+09,19.8461958182255,21.0809402812182,19.6503212950269,21.3362869730271,6,f,6f,86,37.47,0.0346944444444444,41.89255076,3.753741220904,0.327565828,17.1597962394286,3.02757003017579,158.601662254029,0.327565828,13.97006734,3.02757003017579,129.120175496822,Corn,112N,Nitrogen,161.629232284205,27,2.46314508111762,5.42624540376324,2.56598439628607,5.46534389264343,341.530112459294,19.7956616414239,0.000156669,0.033595697
7f,6.748115701,5600000,8.770183092,5.89e+08,7.656214093,45300000,8.878982284,7.57e+08,9.143391463,1.39e+09,4857078.714,0,0,1593153073,8951033.749,0,12760173.47,1391300000,1.21e+09,1.82e+09,8.47e+08,3.03e+09,20.9138861965551,21.3221023380351,20.5572112526163,21.8318284564677,7,f,7f,86,37.75,0.0349537037037037,37.49408555,4.2910310269925,0.256740784,10.148227713711,2.09134849786494,82.6650150957738,0.256740784,9.586484249,2.09134849786494,78.0891883307173,Corn,0N,Control,84.7563635936388,27,0.737076831677886,2.85184993715602,0.643581648687865,2.93213934196398,186.497505328666,59.879793544943,0.00044998,0.000663152
8f,6.614810797,4120000,8.728864303,5.36e+08,7.44243516,27700000,8.815364351,6.54e+08,9.085292417,1.22e+09,0,0,0,1253534589,0,0,5331217.7,1217700000,1.08e+09,1.49e+09,7.21e+08,2.57e+09,20.8002268780825,21.1220419569038,20.3961496952492,21.6671717358535,8,f,8f,86,37.6,0.0348148148148148,37.49408555,4.190396504728,0.327565828,10.033038868283,2.72149512071573,83.3568827758902,0.327565828,9.507792683,2.72149512071573,78.9930120414184,Corn,0N,Carbon,86.0783778966059,27,1.31977277783526,2.98792505092986,1.16207624573006,2.99614827663556,157.851888146536,9.87583952977896,0.002144379,0.013071357
9f,6.641304733,4380000,8.746772642,5.58e+08,7.51401441,32700000,8.818423724,6.58e+08,9.096610272,1.25e+09,14420731.53,0,0,1262776926,0,0,11889122.44,1248700000,1.04e+09,1.53e+09,7.64e+08,2.57e+09,20.7624865500997,21.1485335723508,20.4540783471308,21.6671717358535,9,f,9f,86,37.86,0.0350555555555555,37.49408555,4.2335255856985,0.044265652,16.3306849517142,0.36654013102719,135.225646331044,0.044265652,13.46088662,0.36654013102719,111.462384998575,Corn,0N,Nitrogen,135.592186462071,27,1.05822935215645,4.43403825000635,0.935206241962829,4.54105622411718,381.390791369264,6.75103583218912,0.01856068,0.690738038
10f,7.017433923,10400000,8.736206663,5.45e+08,7.774051746,59400000,8.808862259,6.44e+08,9.096271343,1.25e+09,0,16836636.54,18864486.04,1424751540,0,0,14127952.45,1248400000,1.01e+09,1.89e+09,7.09e+08,2.9e+09,20.7332161677996,21.359842666018,20.3793660844964,21.7879765739388,10,f,10f,86,37.82,0.0350185185185185,44.57222876,3.6848382320352,0.221328262,14.5890077507135,2.10337261867741,138.645282618825,0.221328262,12.36846254,2.10337261867741,117.542537074516,Corn,112N,Control,140.748655237502,27,4.02332437675641,4.68793879852071,3.88137886029545,4.81740118000924,211.385408962636,12.936351289832,0.001401096,0.019164869
11f,7.016570097,10400000,8.775974997,5.97e+08,7.753626363,56700000,8.873550116,7.47e+08,9.146469581,1.4e+09,0,0,30942857.35,1596703297,0,0,14376761.48,1400700000,1.02e+09,2.22e+09,7.55e+08,3.24e+09,20.7430684642426,21.5207730328306,20.4422283072133,21.8988391667506,11,f,11f,86,37.82,0.0350185185185185,44.57222876,3.802345107064,0.354125219,9.79100263851974,3.26139269062859,90.1723535233269,0.354125219,9.341151721,3.26139269062859,86.0293543367271,Corn,112N,Carbon,93.4337462139555,27,2.59535387391817,2.9858084077513,2.35737141846183,3.07477732216405,140.954420219883,12.6536751173355,0.002908939,0.025624441
12f,7.127494998,13400000,8.731277808,5.39e+08,7.86754738,73700000,8.799512806,6.3e+08,9.094323556,1.24e+09,15911749.04,21067655.73,0,1645552927,0,10786121.77,10338499.33,1242700000,9.99e+08,2.25e+09,7.41e+08,3.249e+09,20.7222653366128,21.5341960531627,20.4235111832604,21.9016130936334,12,f,12f,86,37.94,0.0351296296296296,44.57222876,3.9015608175836,0.309859567,20.036632796317,2.78997363743495,180.409718589354,0.309859567,15.4096601,2.78997363743495,138.74848486067,Corn,112N,Nitrogen,183.199692226789,27,2.69246680495547,5.97970408182645,2.61053381997337,6.16809248467001,437.337326584891,20.7397258633512,0.000736808,0.010683326
