X,Day,event,Crop,Treatment,rep,Addition,N2ON_flux_ug_g_d,cum_N2O_flux_ug_g
137,4,2,Miscanthus,336N,3,Carbon,0.044307329,0.056907221
138,4,2,Miscanthus,336N,3,Nitrogen,0.005616962,0.007352708
139,4,2,Miscanthus,0N,1,Control,0.001947748,0.003554135
140,4,2,Miscanthus,0N,1,Carbon,0.001513483,5.52e-05
141,4,2,Miscanthus,0N,1,Nitrogen,0.002135004,0.000457154
142,4,2,Miscanthus,112N,1,Control,0.002087685,0.014831992
143,4,2,Miscanthus,112N,1,Carbon,0.002829211,0.001337556
144,4,2,Miscanthus,112N,1,Nitrogen,0.003424105,0.003701302
145,15,3,Corn,0N,6,Control,-0.000319132,-0.962294315
146,15,3,Corn,0N,6,Carbon,-6.41e-05,-7.143528475
147,15,3,Corn,0N,6,Nitrogen,3.09e-05,0.171212339
148,15,3,Corn,112N,6,Control,0.000179746,0.002665863
149,15,3,Corn,112N,6,Carbon,-0.000195666,-0.003935622
150,15,3,Corn,112N,6,Nitrogen,-6.66e-05,0.032920074
151,15,3,Corn,0N,2,Control,-0.000137288,-0.001682036
152,15,3,Corn,0N,2,Carbon,-2.52e-05,-0.002822247
153,15,3,Corn,0N,2,Nitrogen,0.040616971,0.246905658
154,15,3,Corn,112N,1,Control,0.000755329,0.002991682
155,15,3,Corn,112N,1,Carbon,0.000462458,0.000338964
156,15,3,Corn,112N,1,Nitrogen,-5.65e-05,0.005581207
157,15,3,Corn,336N,5,Control,0.025770745,0.456613403
158,15,3,Corn,336N,5,Carbon,0.002552739,2.046799338
159,15,3,Corn,336N,5,Nitrogen,0.005570462,0.240801366
160,15,3,Corn,336N,2,Control,0.000468482,-0.009665542
161,15,3,Corn,336N,2,Carbon,0.000257141,0.442552682
162,15,3,Corn,336N,2,Nitrogen,0.00054622,-0.007565319
163,15,3,Corn,112N,2,Control,0.185338454,1.066786673
164,15,3,Corn,112N,2,Carbon,0.002687062,0.024223816
165,15,3,Corn,112N,2,Nitrogen,0.288016237,2.436730576
166,15,3,Corn,336N,1,Control,0.004216842,0.008568453
167,15,3,Corn,336N,1,Carbon,0.0041522,0.01123615
168,15,3,Corn,336N,1,Nitrogen,0.004004637,0.141603018
169,15,3,Corn,336N,6,Control,0.004103189,0.001167543
170,15,3,Corn,336N,6,Carbon,0.003943962,0.002442863
171,15,3,Corn,336N,6,Nitrogen,0.002379895,0.092059628
172,15,3,Corn,0N,1,Control,0.002462998,-0.003182536
173,15,3,Corn,0N,1,Carbon,-0.000173732,-0.022036955
174,15,3,Corn,0N,1,Nitrogen,-0.000592407,0.107915107
175,15,3,Corn,112N,5,Control,0.010845359,0.047041255
176,15,3,Corn,112N,5,Carbon,0.009810885,1.565464473
177,15,3,Corn,112N,5,Nitrogen,-0.000622878,-0.002444788
178,15,3,Corn,0N,5,Control,-0.002127646,-0.030956721
179,15,3,Corn,0N,5,Carbon,-0.002201334,-0.033579425
180,15,3,Corn,0N,5,Nitrogen,-0.002252937,-0.029265945
181,15,3,Miscanthus,336N,1,Control,-0.002361519,-0.009610432
182,15,3,Miscanthus,336N,1,Carbon,-0.00246661,0.003357979
183,15,3,Miscanthus,336N,1,Nitrogen,-0.002434358,-0.013113788
184,15,3,Miscanthus,112N,6,Control,-0.00194037,-0.034544743
185,15,3,Miscanthus,112N,6,Carbon,0.00315023,0.150017968
186,15,3,Miscanthus,112N,6,Nitrogen,-0.002055857,-0.034574393
187,15,3,Miscanthus,336N,5,Control,0.086339604,1.546178059
188,15,3,Miscanthus,336N,5,Carbon,0.867429068,8.546368229
189,15,3,Miscanthus,336N,5,Nitrogen,0.859196985,9.108339136
190,15,3,Miscanthus,112N,5,Control,0.658194003,13.82738575
191,15,3,Miscanthus,112N,5,Carbon,0.006380487,0.617705658
192,15,3,Miscanthus,112N,5,Nitrogen,0.979933086,16.88981587
193,15,3,Miscanthus,0N,3,Control,0.008161359,0.047036881
194,15,3,Miscanthus,0N,3,Carbon,0.010037107,0.028828698
195,15,3,Miscanthus,0N,3,Nitrogen,-0.00223391,0.000619618
196,15,3,Miscanthus,0N,5,Control,0.006755895,0.028868185
197,15,3,Miscanthus,0N,5,Carbon,-0.002155695,-0.038297035
198,15,3,Miscanthus,0N,5,Nitrogen,0.109072493,0.882577984
199,15,3,Miscanthus,336N,6,Control,-0.00261086,-0.026344357
200,15,3,Miscanthus,336N,6,Carbon,-0.002966754,0.004324943
201,15,3,Miscanthus,336N,6,Nitrogen,0.006194309,0.11959398
202,15,3,Miscanthus,112N,3,Control,-0.002635611,-0.027124564
203,15,3,Miscanthus,112N,3,Carbon,-0.002547879,-0.012450639
204,15,3,Miscanthus,112N,3,Nitrogen,-0.003086267,-0.025717921
205,15,3,Miscanthus,0N,6,Control,-0.003114369,-0.025555537
206,15,3,Miscanthus,0N,6,Carbon,-0.003304705,-0.011287671
207,15,3,Miscanthus,0N,6,Nitrogen,-0.003224485,0.016993244
208,15,3,Miscanthus,336N,3,Control,-0.009804099,0.184249706
209,15,3,Miscanthus,336N,3,Carbon,0.039883551,0.519957063
210,15,3,Miscanthus,336N,3,Nitrogen,0.004987609,0.065677852
211,15,3,Miscanthus,0N,1,Control,-0.002815249,-0.001217116
212,15,3,Miscanthus,0N,1,Carbon,-0.00306302,-0.008467238
213,15,3,Miscanthus,0N,1,Nitrogen,-0.003015872,-0.004387618
214,15,3,Miscanthus,112N,1,Control,-0.000805098,0.021886218
215,15,3,Miscanthus,112N,1,Carbon,-0.000810566,0.012440104
216,15,3,Miscanthus,112N,1,Nitrogen,-0.000805094,0.018105862
217,30,4,Corn,0N,6,Control,0.002273272,-0.947638265
218,30,4,Corn,0N,6,Carbon,0.002902493,-7.122240389
219,30,4,Corn,0N,6,Nitrogen,0.002298169,0.188680266
220,30,4,Corn,112N,6,Control,0.002646839,0.023865249
221,30,4,Corn,112N,6,Carbon,0.000570886,-0.001121469
222,30,4,Corn,112N,6,Nitrogen,0.000156669,0.033595697
223,30,4,Corn,0N,2,Control,0.00044998,0.000663152
224,30,4,Corn,0N,2,Carbon,0.002144379,0.013071357
225,30,4,Corn,0N,2,Nitrogen,0.01856068,0.690738038
226,30,4,Corn,112N,1,Control,0.001401096,0.019164869
227,30,4,Corn,112N,1,Carbon,0.002908939,0.025624441
228,30,4,Corn,112N,1,Nitrogen,0.000736808,0.010683326
229,30,4,Corn,336N,5,Control,0.051673717,1.03744687
230,30,4,Corn,336N,5,Carbon,0.003182505,2.089813669
231,30,4,Corn,336N,5,Nitrogen,0.002394154,0.300535989
232,30,4,Corn,336N,2,Control,0.00080432,-0.000119531
233,30,4,Corn,336N,2,Carbon,0.00061693,0.449108215
234,30,4,Corn,336N,2,Nitrogen,0.000500073,0.000281877
235,30,4,Corn,112N,2,Control,0.018455337,2.595240103
236,30,4,Corn,112N,2,Carbon,0.00125225,0.053768662
237,30,4,Corn,112N,2,Nitrogen,0.080468368,5.200365114
238,30,4,Corn,336N,1,Control,0.002338717,0.057735149
239,30,4,Corn,336N,1,Carbon,0.000693613,0.047579744
240,30,4,Corn,336N,1,Nitrogen,0.000441387,0.174948198
241,30,4,Corn,336N,6,Control,0.00037363,0.034743685
242,30,4,Corn,336N,6,Carbon,0.001266667,0.041522577
243,30,4,Corn,336N,6,Nitrogen,0.004294142,0.142114906
244,30,4,Corn,0N,1,Control,0.000757385,0.020970337
245,30,4,Corn,0N,1,Carbon,0.003011828,-0.000751236
246,30,4,Corn,0N,1,Nitrogen,0.001450428,0.114350263
