Order,Sample.Name,NH4N.mgl,NO3N.mgl,Crop,Treatment,Addition,Day,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039,name,value
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,ave_039,3.52e+08
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,F1R2_log,6.703380767
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,F1R2_ave,5050000
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,ave_sum,1650100000
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,log_sum,9.216615333
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,norB.001,1.58e+09
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,log_norB.001,21.1806906839853
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,norB.006,2.01e+09
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,log_norB.006,21.4214005590174
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,norB.039,1.52e+08
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,log_norB.039,18.8393910788106
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,norB.sum,3.74e+09
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,log_norB.sum,22.0423514483729
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,cnorB,1.13e+09
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,log_cnorB,20.8454834696707
9,9b,0.667254686,3.676323959,Corn,0N,Nitrogen,5,3.18e+09,0,0,7087155.43,3740663530,6876092.241,9489222.476,11152043.85,log_012,9.380460191
9,9b,0.667254686,3.676323959,Corn,0N,Nitrogen,5,3.18e+09,0,0,7087155.43,3740663530,6876092.241,9489222.476,11152043.85,ave_012,2.4e+09
9,9b,0.667254686,3.676323959,Corn,0N,Nitrogen,5,3.18e+09,0,0,7087155.43,3740663530,6876092.241,9489222.476,11152043.85,log_025,7.974519254
9,9b,0.667254686,3.676323959,Corn,0N,Nitrogen,5,3.18e+09,0,0,7087155.43,3740663530,6876092.241,9489222.476,11152043.85,ave_025,94300000
